Gender;Age;Smoker_Status;Name;Company;TotalScore;WholeLifeScore;TermsScore;PremiumTerm_Years;AnnualPremium;Number_of_Covered_Major_Illnesses;Number_of_Covered_Early_Illnesses;Maximum_Payout;Waiting_Period;Issue_Age
Male;35;Non Smoker;Crisis OneMaster;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 6,333;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;Crisis OneMaster Pro;FWD | 富衛;9.9 / 10;10.0 / 10;9.0 / 10;25;USD 6,824;68;102;1374.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.6 / 10;9.4 / 10;10 / 10;25;USD 6,723;93;101;900.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;SunWell Supreme Care;Sun Life | Sun Life 永明;9.4 / 10;9.5 / 10;7.8 / 10;25;USD 4,275;71;117;700.0%;60 Days;Age 0 to Age 50
Male;35;Non Smoker;TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;9.5 / 10;9.2 / 10;10 / 10;25;USD 5,468;63;75;1300.0%;60 Days;Age 0 to Age 60
Male;35;Non Smoker;LionGuardian Beyond;Generali | 忠意保險;9.4 / 10;9.3 / 10;9.5 / 10;25;USD 4,100;69;69;Not specified;60 Days;Age 0 to Age 55
Male;35;Non Smoker;LionAlong;Generali | 忠意保險;9.3 / 10;9.4 / 10;9.3 / 10;25;USD 3,923;69;69;720.0%;60 Days;Age 0 to Age 55
Male;35;Non Smoker;Crisis USupporter Pro;FWD | 富衛;9.2 / 10;9.3 / 10;8.8 / 10;25;USD 4,955;62;65;1152.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;Crisis USupporter;FWD | 富衛;9.1 / 10;9.2 / 10;8.8 / 10;25;USD 4,551;62;65;1121.0%;90 Days;Age 0 to Age 50
Male;35;Non Smoker;PrimeHealth Pro (Signature);YF Life | 萬通保險;9.3 / 10;9.2 / 10;9.6 / 10;25;USD 4,086;68;50;740.0%;60 Days;Age 0 to Age 55
