InsuranceName;Company;Average;WholeLifeScore;TermsScore;Gender;Age;Smoker;PriceYear
SunWell Supreme Care;Sun Life | Sun Life 永明;9.3;9.5 / 10;7.8 / 10;Male;35;Non Smoker;4,275
LionGuardian Beyond;Generali | 忠意保險;9.3;9.4 / 10;8.8 / 10;Male;35;Non Smoker;4,100
LionAlong;Generali | 忠意保險;9.2;9.2 / 10;8.8 / 10;Male;35;Non Smoker;3,923
Crisis OneMaster;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;35;Non Smoker;6,333
Crisis OneMaster Pro;FWD | 富衛;9.1;9.2 / 10;9.0 / 10;Male;35;Non Smoker;6,824
Crisis USupporter;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;35;Non Smoker;4,551
Crisis USupporter Pro;FWD | 富衛;9.0;9.0 / 10;8.8 / 10;Male;35;Non Smoker;4,955
TotalAssure Plus Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.9;9.1 / 10;7.8 / 10;Male;35;Non Smoker;5,468
SunHealth OmniCare Plan 3;Sun Life | Sun Life 永明;8.9;9.1 / 10;7.5 / 10;Male;35;Non Smoker;5,058
Critical Illness 188 Whole Life Insurance Plan;BOC Life | 中銀人壽;8.9;9.0 / 10;7.5 / 10;Male;35;Non Smoker;4,617
HealthCare 168 Plus;CTF Life | 周大福人壽;8.8;9.0 / 10;7.5 / 10;Male;35;Non Smoker;4,038
TotalGuard Critical Illness Multiple Protector (SS);China Life | 中國人壽;9.3;9.6 / 10;6.5 / 10;Male;35;Non Smoker;6,723
SunWell Advanced Care;Sun Life | Sun Life 永明;8.8;8.9 / 10;7.8 / 10;Male;35;Non Smoker;3,758
ManuPrimo Care;Manulife | 宏利;8.8;8.9 / 10;7.5 / 10;Male;35;Non Smoker;4,564
FamCare 198;CTF Life | 周大福人壽;8.7;8.9 / 10;7.8 / 10;Male;35;Non Smoker;4,119
SunHealth OmniCare Plan 2;Sun Life | Sun Life 永明;8.7;8.9 / 10;7.3 / 10;Male;35;Non Smoker;4,185
PrimeHealth Pro (Signature);YF Life | 萬通保險;8.7;8.9 / 10;6.5 / 10;Male;35;Non Smoker;4,086
Embrace Care Critical Illness Protector;Chubb Life | 安達人壽;8.7;8.8 / 10;8.0 / 10;Male;35;Non Smoker;4,008
TotalGuard Critical Illness Multiple Protector;China Life | 中國人壽;8.6;8.9 / 10;6.5 / 10;Male;35;Non Smoker;5,584
Health Critical Illness Extended Care III;Prudential | 保誠保險;8.6;8.9 / 10;6.3 / 10;Male;35;Non Smoker;4,787
SunHealth LovePromise;Sun Life | Sun Life 永明;8.6;8.7 / 10;7.8 / 10;Male;35;Non Smoker;4,227
ManuBright Care 2 Plus;Manulife | 宏利;8.5;8.7 / 10;7.3 / 10;Male;35;Non Smoker;4,348
TotalAssure Critical Illness Plan;AXA Hong Kong and Macau | AXA 安盛;8.5;8.6 / 10;7.8 / 10;Male;35;Non Smoker;4,329
PRUHealth Guardian Critical Illness Plan;Prudential | 保誠保險;8.4;8.6 / 10;6.5 / 10;Male;35;Non Smoker;4,800
Manulife Bright Care PRO;Manulife | 宏利;8.4;8.5 / 10;7.5 / 10;Male;35;Non Smoker;3,875
ManuLove Care;Manulife | 宏利;8.4;8.5 / 10;7.3 / 10;Male;35;Non Smoker;5,332
ManuBright Care 2;Manulife | 宏利;8.2;8.4 / 10;7.3 / 10;Male;35;Non Smoker;4,036
On Your SIde Plan;AIA | 友邦香港;8.2;8.4 / 10;6.3 / 10;Male;35;Non Smoker;4,112
AXA Health Vital 2 (Early and Multi Supp Plus);AXA Hong Kong and Macau | AXA 安盛;8.1;8.2 / 10;7.0 / 10;Male;35;Non Smoker;5,541
Elite Care Critical Illness Insurance Plan;China Life | 中國人壽;7.9;8.1 / 10;6.5 / 10;Male;35;Non Smoker;4,339
Smart Elite Ultra;AIA | 友邦香港;7.6;7.7 / 10;6.5 / 10;Male;35;Non Smoker;4,842
Well Protect Critical Illness Insurance Plan;Well Link Life | 立橋人壽;7.3;7.4 / 10;5.8 / 10;Male;35;Non Smoker;4,853
AXA Health Vital 2 (Early and Multi Supp);AXA Hong Kong and Macau | AXA 安盛;7.0;7.3 / 10;4.8 / 10;Male;35;Non Smoker;5,381
Multi Care Pro 2;AIA | 友邦香港;6.8;7.1 / 10;4.3 / 10;Male;35;Non Smoker;3,953
Smart Guard Critical Illness Plan;BOC Life | 中銀人壽;6.7;6.9 / 10;4.8 / 10;Male;35;Non Smoker;4,365
BestCarePro (Multiple claims rider);BOC Life | 中銀人壽;6.5;6.9 / 10;3.0 / 10;Male;35;Non Smoker;4,760
